players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
16,1,1,0,0,15,16,2,23,9,9,0,0,0,37,10,19,34.5,/en/squads/19c3f8c4/Ajax-Stats
15,1,3,0,0,15,17,2,17,2,15,0,0,0,43,17,10,63.0,/en/squads/18bb7c10/Arsenal-Stats
16,1,1,0,0,11,5,2,8,9,8,0,1,0,41,3,5,37.5,/en/squads/922493f3/Atalanta-Stats
16,1,1,0,0,18,14,0,13,9,11,0,0,0,38,10,17,37.0,/en/squads/2b390eca/Athletic-Club-Stats
15,1,2,0,0,9,7,2,25,9,11,0,0,0,47,12,19,38.7,/en/squads/db3b9613/Atletico-Madrid-Stats
16,1,4,0,0,12,11,0,9,13,10,0,0,0,35,14,13,51.9,/en/squads/206d90db/Barcelona-Stats
16,1,3,0,0,12,6,4,12,11,9,1,0,0,39,8,6,57.1,/en/squads/054efa67/Bayern-Munich-Stats
15,1,0,0,0,11,6,1,16,9,9,0,0,0,57,9,10,47.4,/en/squads/a77c513e/Benfica-Stats
16,1,3,0,0,11,13,0,12,11,8,1,0,0,43,15,14,51.7,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,1,1,0,0,7,12,3,14,12,6,0,1,1,33,6,8,42.9,/en/squads/cff3d9bb/Chelsea-Stats
16,1,2,0,0,11,9,0,13,8,6,0,1,0,44,12,6,66.7,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,1,1,0,0,8,11,0,6,5,14,0,0,0,36,11,10,52.4,/en/squads/add600ae/Dortmund-Stats
16,1,1,0,0,10,13,1,14,12,10,0,0,0,34,8,13,38.1,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,1,3,0,0,14,11,0,16,8,13,0,0,1,49,8,12,40.0,/en/squads/18050b20/FC-Copenhagen-Stats
16,1,0,0,0,13,7,0,15,13,5,0,0,2,42,13,8,61.9,/en/squads/ecd11ca2/Galatasaray-Stats
16,1,2,0,0,17,14,1,11,9,11,0,0,0,39,19,10,65.5,/en/squads/d609edc0/Internazionale-Stats
16,1,0,0,0,13,8,4,20,8,9,0,1,0,52,10,11,47.6,/en/squads/e0652b02/Juventus-Stats
16,1,2,0,0,13,14,0,19,7,6,0,0,0,53,12,8,60.0,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
16,1,1,0,0,7,9,1,22,5,6,0,0,0,47,19,12,61.3,/en/squads/822bd0ba/Liverpool-Stats
16,1,0,0,0,3,4,1,24,9,7,0,0,0,40,14,9,60.9,/en/squads/b8fd03ef/Manchester-City-Stats
16,1,2,0,0,14,9,3,11,6,14,0,2,0,44,12,5,70.6,/en/squads/5725cc7b/Marseille-Stats
16,1,2,0,0,9,11,1,12,10,8,1,0,0,41,6,12,33.3,/en/squads/fd6114db/Monaco-Stats
16,1,1,1,0,4,3,1,6,10,8,0,0,0,26,9,14,39.1,/en/squads/d48ad4ff/Napoli-Stats
16,1,2,0,0,11,12,3,22,7,5,0,0,0,44,13,14,48.1,/en/squads/b2b47a98/Newcastle-United-Stats
16,1,3,0,0,15,14,2,45,3,9,0,0,0,52,17,6,73.9,/en/squads/2fdb4aef/Olympiacos-Stats
16,1,0,0,0,9,9,0,26,19,13,0,1,0,52,14,17,45.2,/en/squads/e334d850/PSV-Eindhoven-Stats
16,1,3,1,1,14,14,1,1,5,14,0,0,0,46,6,17,26.1,/en/squads/cb42669e/Pafos-FC-Stats
16,1,0,0,0,5,11,3,8,6,10,1,0,0,48,5,3,62.5,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,1,0,0,0,6,11,1,8,10,10,0,0,0,42,10,9,52.6,/en/squads/44b65410/Qarabag-Stats
16,1,2,0,0,11,13,1,9,10,9,0,1,0,40,12,16,42.9,/en/squads/768fb565/Qairat-Almaty-Stats
15,1,3,1,0,9,13,1,11,10,8,1,0,0,45,5,12,29.4,/en/squads/53a2f082/Real-Madrid-Stats
16,1,2,0,0,13,11,5,31,8,11,0,1,0,45,14,15,48.3,/en/squads/111cbfb1/Slavia-Prague-Stats
16,1,4,0,0,14,9,0,18,9,7,1,0,0,48,16,12,57.1,/en/squads/13dc44fd/Sporting-CP-Stats
16,1,4,0,0,14,11,1,14,5,14,0,0,0,44,18,7,72.0,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,1,0,0,0,9,9,8,13,17,12,1,0,0,57,17,14,54.8,/en/squads/e14f61a5/Union-SG-Stats
16,1,3,0,0,13,14,1,10,14,9,0,0,1,36,7,18,28.0,/en/squads/2a8183b3/Villarreal-Stats
