players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
16,56,1,666,90,248,297,125,14,666,12,2,16.7,10,83.3,436,2030,955,13,11,2,15,5,469,42,/en/squads/19c3f8c4/Ajax-Stats
15,61,1,637,64,266,260,115,24,637,17,8,47.1,8,47.1,344,1593,884,21,8,14,14,8,427,34,/en/squads/18bb7c10/Arsenal-Stats
16,33,1,442,83,184,167,96,13,442,7,4,57.1,3,42.9,269,1327,567,13,6,2,15,9,299,17,/en/squads/922493f3/Atalanta-Stats
16,39,1,447,48,157,183,111,20,447,13,4,30.8,7,53.8,229,1234,709,20,14,7,14,13,243,30,/en/squads/2b390eca/Athletic-Club-Stats
15,44,1,605,76,230,233,147,25,605,13,4,30.8,3,23.1,360,1904,1051,22,14,5,12,10,407,42,/en/squads/db3b9613/Atletico-Madrid-Stats
16,63,1,708,61,192,339,180,36,708,16,9,56.3,7,43.8,392,1813,1025,21,14,11,14,6,485,41,/en/squads/206d90db/Barcelona-Stats
16,56,1,675,64,244,290,144,21,674,10,7,70.0,3,30.0,432,2422,1143,17,8,6,11,7,519,35,/en/squads/054efa67/Bayern-Munich-Stats
15,53,1,633,53,159,279,202,26,633,19,9,47.4,9,47.4,395,2469,1334,30,22,10,17,7,429,57,/en/squads/a77c513e/Benfica-Stats
16,53,1,577,80,198,255,131,18,576,16,7,43.8,7,43.8,288,2024,1071,14,13,3,17,17,323,23,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,44,1,567,70,203,251,119,23,567,17,9,52.9,7,41.2,367,1435,725,18,9,7,18,6,402,31,/en/squads/cff3d9bb/Chelsea-Stats
16,49,1,595,70,229,210,161,38,595,8,7,87.5,1,12.5,390,1902,1036,27,12,10,11,12,401,51,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,48,1,608,72,223,278,113,12,607,10,3,30.0,7,70.0,272,1417,685,10,5,2,18,5,408,25,/en/squads/add600ae/Dortmund-Stats
