players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
19,6.0,20,2,2,93,60,11,107,85,74,0,3,0,371,95,93,50.5,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,9.0,25,0,0,152,107,15,142,106,87,4,2,0,471,127,113,52.9,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,9.3,16,0,0,112,122,25,160,101,82,2,0,1,499,194,156,55.4,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,9.0,25,1,1,102,123,14,83,108,75,1,2,0,420,84,68,55.3,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,11.0,13,0,0,132,106,20,272,109,122,1,1,1,604,159,116,57.8,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,6.0,8,0,0,61,70,9,115,60,70,0,1,1,347,64,87,42.4,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,8.0,14,1,0,101,79,15,162,75,62,1,2,2,415,140,101,58.1,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,6.0,17,3,3,94,59,23,99,65,74,1,0,0,356,79,79,50.0,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,6.0,16,1,1,90,58,10,70,69,60,1,2,0,303,88,95,48.1,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,8.0,14,2,1,94,78,13,96,98,77,1,1,0,452,75,74,50.3,/en/squads/add600ae/2019-2020/Dortmund-Stats
20,6.0,21,0,0,94,74,10,86,69,56,0,2,0,309,99,94,51.3,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
20,6.0,10,0,0,47,75,15,125,67,60,0,2,0,327,88,94,48.4,/en/squads/1e972a99/2019-2020/Genk-Stats
20,6.0,17,0,0,78,87,22,71,89,54,1,1,0,318,62,69,47.3,/en/squads/d609edc0/2019-2020/Internazionale-Stats
23,8.0,10,0,0,85,117,19,191,86,67,0,1,0,375,109,95,53.4,/en/squads/e0652b02/2019-2020/Juventus-Stats
20,6.0,7,1,0,92,64,10,136,62,67,0,0,0,365,70,87,44.6,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
21,6.0,14,0,0,84,56,16,109,84,67,0,1,1,362,90,115,43.9,/en/squads/cb188c0c/2019-2020/Lille-Stats
20,8.3,9,0,0,90,64,11,217,76,94,0,1,0,530,135,124,52.1,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
20,6.0,12,0,0,83,77,9,53,98,49,0,2,2,270,85,97,46.7,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
24,10.0,22,0,0,124,109,17,185,110,82,2,3,0,542,139,155,47.3,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,9.0,15,2,1,100,84,16,175,110,83,2,1,0,508,115,81,58.7,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
24,8.0,14,0,0,74,95,15,144,96,90,3,3,0,442,98,92,51.6,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
17,6.0,14,1,1,75,72,8,97,57,61,1,2,0,277,88,97,47.6,/en/squads/2fdb4aef/2019-2020/Olympiacos-Stats
24,11.0,29,0,0,136,192,26,138,121,111,1,1,0,584,130,108,54.6,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
25,10.0,20,0,0,152,96,25,228,99,115,4,1,0,586,155,163,48.7,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
21,6.0,8,0,0,92,34,17,77,63,75,2,0,0,400,70,106,39.8,/en/squads/50f2a074/2019-2020/Red-Bull-Salzburg-Stats
25,8.0,13,1,0,70,91,10,146,92,78,1,1,0,430,81,103,44.0,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
19,6.0,14,0,0,62,70,8,68,74,70,1,2,0,271,75,103,42.1,/en/squads/099c6eb5/2019-2020/Red-Star-Stats
18,6.0,11,2,1,52,98,9,52,64,52,1,2,0,248,57,76,42.9,/en/squads/e89d5a28/2019-2020/Shakhtar-Donetsk-Stats
20,6.0,16,0,0,93,62,10,93,77,46,1,0,1,380,93,95,49.5,/en/squads/111cbfb1/2019-2020/Slavia-Prague-Stats
28,8.0,14,0,0,96,97,11,118,68,74,2,2,0,423,98,98,50.0,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
23,8.0,19,2,1,74,145,15,135,92,74,2,3,0,415,119,150,44.2,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
19,6.0,17,1,1,63,53,10,101,95,68,0,2,1,351,123,100,55.2,/en/squads/98ce363d/2019-2020/Zenit-Stats
