players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,6,6,540,6.0,6,1.0,30,24,86.7,3,1,2,3,50.0,3,2,0,1,0,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
2,9,9,810,9.0,18,2.0,46,28,63.0,4,1,4,2,22.2,2,1,0,1,0,/en/squads/922493f3/2019-2020/Atalanta-Stats
1,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
2,9,9,810,9.0,14,1.56,48,33,72.9,5,3,1,2,22.2,2,1,1,0,50,/en/squads/206d90db/2019-2020/Barcelona-Stats
1,11,11,990,11.0,8,0.73,34,27,79.4,11,0,0,6,54.5,1,1,0,0,0,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
1,6,6,540,6.0,11,1.83,28,18,64.3,2,1,3,1,16.7,1,1,0,0,0,/en/squads/a77c513e/2019-2020/Benfica-Stats
2,8,8,720,8.0,16,2.0,33,18,54.5,3,2,3,1,12.5,2,1,1,0,50,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
1,6,6,540,6.0,12,2.0,26,14,53.8,0,3,3,1,16.7,0,0,0,0,,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
1,6,6,540,6.0,13,2.17,35,22,68.6,1,2,3,1,16.7,2,2,0,0,0,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
1,8,8,720,8.0,11,1.37,37,25,70.3,4,1,3,2,25.0,1,0,1,0,100,/en/squads/add600ae/2019-2020/Dortmund-Stats
1,6,6,540,6.0,14,2.33,47,33,74.5,0,2,4,1,16.7,2,2,0,0,0,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
2,6,6,540,6.0,20,3.33,41,21,56.1,0,1,5,1,16.7,2,2,0,0,0,/en/squads/1e972a99/2019-2020/Genk-Stats
1,6,6,540,6.0,9,1.5,30,21,73.3,2,1,3,1,16.7,1,1,0,0,0,/en/squads/d609edc0/2019-2020/Internazionale-Stats
2,8,8,720,8.0,6,0.75,23,17,78.3,6,1,1,3,37.5,1,1,0,0,0,/en/squads/e0652b02/2019-2020/Juventus-Stats
1,6,6,540,6.0,9,1.5,28,19,67.9,2,0,4,1,16.7,0,0,0,0,,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
2,6,6,540,6.0,14,2.33,32,19,59.4,0,1,5,0,0.0,1,1,0,0,0,/en/squads/cb188c0c/2019-2020/Lille-Stats
2,8,8,750,8.3,12,1.44,33,21,66.7,4,1,3,1,12.5,1,1,0,0,0,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2,6,6,540,6.0,11,1.83,42,32,76.2,1,0,5,0,0.0,2,1,1,0,50,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
1,10,10,900,10.0,14,1.4,38,24,71.1,4,2,4,2,20.0,3,3,0,0,0,/en/squads/d53c0b06/2019-2020/Lyon-Stats
3,9,9,803,9.0,9,1.01,27,18,70.4,6,2,1,2,22.2,1,1,0,0,0,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2,8,8,720,8.0,8,1.0,25,17,80.0,3,4,1,3,37.5,3,3,0,0,0,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
1,6,6,540,6.0,14,2.33,35,21,62.9,1,1,4,1,16.7,2,1,0,1,0,/en/squads/2fdb4aef/2019-2020/Olympiacos-Stats
2,11,11,990,11.0,6,0.55,29,22,79.3,8,1,2,7,63.6,1,0,1,0,100,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
2,10,10,900,10.0,12,1.2,46,34,76.1,6,2,2,3,30.0,1,1,0,0,0,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
2,6,6,540,6.0,13,2.17,29,16,55.2,2,1,3,0,0.0,0,0,0,0,,/en/squads/50f2a074/2019-2020/Red-Bull-Salzburg-Stats
2,8,8,720,8.0,12,1.5,34,22,67.6,3,2,3,2,25.0,1,1,0,0,0,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
1,6,6,540,6.0,20,3.33,53,33,66.0,1,0,5,0,0.0,2,2,0,0,0,/en/squads/099c6eb5/2019-2020/Red-Star-Stats
1,6,6,540,6.0,13,2.17,33,19,63.6,1,3,2,0,0.0,2,1,1,0,50,/en/squads/e89d5a28/2019-2020/Shakhtar-Donetsk-Stats
1,6,6,540,6.0,10,1.67,35,26,71.4,0,2,4,1,16.7,0,0,0,0,,/en/squads/111cbfb1/2019-2020/Slavia-Prague-Stats
2,8,8,720,8.0,18,2.25,47,29,66.0,3,1,4,2,25.0,2,2,0,0,0,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
2,8,8,720,8.0,15,1.87,39,24,66.7,3,2,3,2,25.0,3,2,0,1,0,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
2,6,6,540,6.0,9,1.5,38,30,81.6,2,1,3,1,16.7,2,2,0,0,0,/en/squads/98ce363d/2019-2020/Zenit-Stats
