players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
19,24.9,6,540,90,100,6.0,66,85,,17,16,25,1.67,12,6,6,1.0,7.5,13.8,-6.3,-1.05,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,27.4,9,810,90,100,9.0,99,84,,28,22,40,1.44,17,18,-1,-0.11,17.7,18.9,-1.2,-0.14,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,26.2,9,840,93,100,9.3,99,86,,28,25,40,1.78,13,9,4,0.43,15.3,9.1,6.1,0.66,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,27.6,9,810,90,100,9.0,99,84,,24,24,48,2.0,15,14,1,0.11,14.4,17.9,-3.5,-0.39,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,27.0,11,990,90,100,11.0,121,83,,40,20,56,3.0,43,8,35,3.18,35.5,10.2,25.3,2.3,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,24.9,6,540,90,100,6.0,66,84,,18,23,24,1.17,10,11,-1,-0.17,8.1,9.4,-1.3,-0.22,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,25.5,8,720,90,100,8.0,88,84,,22,22,38,1.38,12,16,-4,-0.5,17.5,12.7,4.7,0.59,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,25.4,6,540,90,100,6.0,66,85,,17,19,25,0.5,4,12,-8,-1.33,7.4,10.4,-3.0,-0.51,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,25.7,6,540,90,100,6.0,66,86,,18,15,24,0.83,10,13,-3,-0.5,7.5,16.3,-8.8,-1.46,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,25.8,8,720,90,100,8.0,88,87,,22,13,34,1.63,10,11,-1,-0.12,14.4,13.1,1.4,0.17,/en/squads/add600ae/2019-2020/Dortmund-Stats
20,29.7,6,540,90,100,6.0,66,84,,18,22,24,0.33,1,14,-13,-2.17,4.2,16.4,-12.2,-2.03,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
20,23.5,6,540,90,100,6.0,66,86,,17,16,25,0.17,5,20,-15,-2.5,6.9,18.2,-11.3,-1.88,/en/squads/1e972a99/2019-2020/Genk-Stats
20,27.9,6,540,90,100,6.0,66,85,,18,19,24,1.17,10,9,1,0.17,10.0,10.3,-0.3,-0.05,/en/squads/d609edc0/2019-2020/Internazionale-Stats
23,28.7,8,720,90,100,8.0,88,85,,25,17,35,2.38,14,6,8,1.0,12.0,10.9,1.2,0.15,/en/squads/e0652b02/2019-2020/Juventus-Stats
20,26.7,6,540,90,100,6.0,66,85,,17,19,25,1.0,5,9,-4,-0.67,6.7,6.8,0.0,-0.01,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
21,23.9,6,540,90,100,6.0,66,85,,18,17,24,0.17,4,14,-10,-1.67,8.8,10.1,-1.3,-0.22,/en/squads/cb188c0c/2019-2020/Lille-Stats
20,27.0,8,750,94,100,8.3,88,88,,24,21,32,1.63,15,12,3,0.36,16.2,8.8,7.4,0.89,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
20,28.6,6,540,90,100,6.0,66,87,,11,16,31,0.5,4,11,-7,-1.17,6.0,13.1,-7.0,-1.17,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
24,25.0,10,900,90,100,10.0,110,84,,34,18,51,1.4,14,14,0,0.0,12.7,18.4,-5.7,-0.57,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,26.9,9,810,90,100,9.0,99,85,,24,19,49,2.22,21,9,12,1.33,25.1,7.9,17.2,1.91,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
24,27.1,8,720,90,100,8.0,88,84,,26,21,35,1.63,13,8,5,0.62,14.9,11.0,3.9,0.48,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
17,26.2,6,540,90,100,6.0,66,85,,18,15,24,0.67,8,14,-6,-1.0,7.9,12.1,-4.3,-0.71,/en/squads/2fdb4aef/2019-2020/Olympiacos-Stats
24,27.4,11,990,90,100,11.0,121,85,,35,17,57,2.27,25,6,19,1.73,26.2,12.3,13.9,1.27,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
