players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
19,54.5,6.0,3968,374,1173,1768,1078,162,3968,93,61,65.6,32,34.4,2704,12766,6909,122,101,30,86,66,2574,272,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,48.3,9.0,5349,472,1470,2530,1405,207,5344,149,92,61.7,57,38.3,3283,16536,8075,187,151,50,135,87,3390,332,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,45.1,9.3,5607,571,1569,2615,1478,185,5604,138,84,60.9,54,39.1,2968,15235,7694,139,135,33,145,92,3442,382,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,57.0,9.0,6898,679,1800,3497,1662,191,6897,206,144,69.9,62,30.1,4358,22417,12123,180,182,41,103,85,5181,404,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,63.8,11.0,8620,593,2102,4182,2397,410,8618,210,128,61.0,82,39.0,5469,27506,15318,315,202,89,137,70,6408,694,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,48.5,6.0,3876,387,1241,1678,991,100,3875,89,47,52.8,42,47.2,2215,11741,6480,106,96,17,104,56,2535,266,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,51.4,8.0,5160,458,1526,2403,1300,216,5157,191,133,69.6,58,30.4,3174,17493,9170,213,144,60,116,97,3516,354,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,41.5,6.0,3238,354,1077,1315,888,114,3237,99,56,56.6,43,43.4,1957,10172,5187,96,68,25,93,65,1931,277,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,35.2,6.0,2849,369,931,1330,624,100,2848,144,65,45.1,79,54.9,1516,9267,4606,92,91,20,99,50,1486,133,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,51.8,8.0,5770,449,1724,2520,1576,215,5769,156,96,61.5,59,37.8,3538,17449,8535,174,149,53,104,83,4135,402,/en/squads/add600ae/2019-2020/Dortmund-Stats
20,46.7,6.0,3593,439,1291,1612,722,61,3593,91,59,64.8,32,35.2,1881,9518,4564,94,75,15,101,58,2291,170,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
20,40.3,6.0,3250,457,1177,1335,765,87,3250,132,70,53.0,62,47.0,1569,9250,4644,95,77,21,107,51,1819,202,/en/squads/1e972a99/2019-2020/Genk-Stats
20,41.5,6.0,3452,456,1377,1521,589,102,3451,93,60,64.5,33,35.5,1786,10323,5414,94,55,27,62,45,2186,168,/en/squads/d609edc0/2019-2020/Internazionale-Stats
23,59.4,8.0,6097,488,1505,3084,1555,149,6096,139,93,66.9,45,32.4,3313,18335,9880,196,159,38,100,57,4484,374,/en/squads/e0652b02/2019-2020/Juventus-Stats
20,58.8,6.0,4727,373,1378,2307,1087,124,4727,114,72,63.2,42,36.8,2901,14663,7212,140,105,22,110,62,3351,262,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
21,42.7,6.0,3355,355,1063,1559,786,126,3355,145,81,55.9,63,43.4,1718,9804,5318,116,94,31,103,60,1962,208,/en/squads/cb188c0c/2019-2020/Lille-Stats
20,66.6,8.3,7146,364,1438,3695,2066,286,7146,203,131,64.5,72,35.5,4839,21502,11146,214,177,53,154,75,5213,562,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
20,32.3,6.0,2875,441,1083,1296,530,61,2875,86,51,59.3,35,40.7,1420,7455,3620,63,58,12,103,69,1508,139,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
24,44.9,10.0,5869,669,1881,2684,1366,177,5867,246,165,67.1,81,32.9,3434,17928,9531,217,145,56,158,118,3664,353,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,62.4,9.0,7135,440,1426,3663,2104,278,7132,187,128,68.4,59,31.6,5285,25815,14361,270,237,70,108,91,5457,484,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
24,47.5,8.0,5135,586,1759,2354,1065,151,5131,127,72,56.7,55,43.3,2737,14173,7846,147,102,42,118,88,3452,312,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
