players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
19,6.0,2592,3278,79.1,40831,15061,1360,1537,88.5,843,996,84.6,233,441,52.8,10,6.8,7.2,3.2,62,189,70,15,273,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,9.0,3406,4327,78.7,56381,19444,1728,1977,87.4,1190,1445,82.4,338,603,56.1,9,10.8,9.2,-1.8,88,248,81,18,333,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,9.3,3470,4514,76.9,57710,21604,1746,2001,87.3,1201,1484,80.9,359,670,53.6,9,10.0,10.8,-1.0,89,242,81,10,385,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,9.0,5214,6023,86.6,86873,25778,2572,2828,90.9,2063,2255,91.5,441,644,68.5,10,11.5,9.7,-1.5,77,392,81,8,407,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,11.0,6436,7516,85.6,115971,36605,2739,3024,90.6,2854,3161,90.3,692,1000,69.2,37,25.3,21.6,11.7,175,498,167,33,694,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,6.0,2545,3168,80.3,42740,15761,1228,1386,88.6,956,1124,85.1,260,431,60.3,5,6.3,5.5,-1.3,60,194,44,5,266,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,8.0,3532,4286,82.4,60083,21247,1660,1846,89.9,1302,1515,85.9,387,584,66.3,7,12.5,9.5,-5.5,99,227,74,24,355,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,6.0,1948,2581,75.5,37414,14839,841,981,85.7,811,985,82.3,271,475,57.1,3,4.6,4.9,-1.6,47,173,48,5,280,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,6.0,1503,2108,71.3,24974,10165,715,868,82.4,474,624,76.0,171,363,47.1,9,6.1,4.0,2.9,38,74,32,8,135,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,8.0,4169,4921,84.7,70364,22095,2046,2260,90.5,1685,1876,89.8,357,570,62.6,9,10.2,10.5,-1.2,74,281,77,12,406,/en/squads/add600ae/2019-2020/Dortmund-Stats
20,6.0,2309,2971,77.7,39715,15557,1088,1258,86.5,925,1082,85.5,219,447,49.0,1,3.4,3.3,-2.4,38,141,24,10,170,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
20,6.0,1836,2488,73.8,35523,13832,749,874,85.7,773,952,81.2,280,507,55.2,4,5.4,4.2,-1.4,52,126,38,15,202,/en/squads/1e972a99/2019-2020/Genk-Stats
