players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
19,6.0,3278,2976,291,77,13,23,107,118,35,7,18,0,2592,11,55,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,9.0,4327,3881,431,123,11,34,142,190,37,15,18,0,3406,15,81,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,9.3,4514,4016,473,127,17,35,160,202,46,7,24,0,3470,25,79,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,9.0,6023,5615,394,143,30,40,83,126,35,16,9,1,5214,14,74,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,11.0,7516,7005,491,119,27,71,272,206,90,38,36,0,6436,20,68,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,6.0,3168,2847,312,76,4,26,115,128,34,11,17,0,2545,9,62,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,8.0,4286,3890,381,83,9,35,162,156,49,18,23,1,3532,15,71,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,6.0,2581,2266,292,69,9,25,99,121,25,9,14,0,1948,23,52,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,6.0,2108,1812,286,73,2,16,70,111,22,7,7,1,1503,10,45,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,8.0,4921,4592,316,101,17,37,96,132,24,7,12,0,4169,13,85,/en/squads/add600ae/2019-2020/Dortmund-Stats
20,6.0,2971,2671,290,89,4,15,86,107,21,9,9,0,2309,10,48,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
20,6.0,2488,2143,330,87,4,27,125,127,33,9,15,0,1836,15,51,/en/squads/1e972a99/2019-2020/Genk-Stats
20,6.0,2803,2508,273,95,13,29,71,105,12,3,5,0,2204,22,42,/en/squads/d609edc0/2019-2020/Internazionale-Stats
23,8.0,5282,4877,386,120,14,46,191,148,39,13,20,0,4500,19,76,/en/squads/e0652b02/2019-2020/Juventus-Stats
20,6.0,4060,3751,299,75,5,44,136,135,42,23,15,2,3372,10,58,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
21,6.0,2626,2315,295,63,9,13,109,145,30,10,15,0,1971,16,49,/en/squads/cb188c0c/2019-2020/Lille-Stats
20,8.3,6282,5827,444,98,18,82,217,217,65,11,35,0,5240,11,85,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
20,6.0,2085,1780,296,93,7,16,53,94,18,4,3,1,1517,9,36,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
24,10.0,4704,4180,507,128,10,39,185,213,51,20,11,0,3679,17,82,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,9.0,6313,5937,360,84,32,31,175,158,63,23,8,0,5498,16,77,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
24,8.0,4229,3804,410,108,6,52,144,172,37,14,22,0,3470,15,66,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
17,6.0,2627,2315,304,87,4,26,97,128,24,7,11,0,2051,8,51,/en/squads/2fdb4aef/2019-2020/Olympiacos-Stats
24,11.0,6611,6039,546,205,47,25,138,191,48,18,18,0,5643,26,74,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
25,10.0,6434,5919,490,117,13,29,228,222,59,32,13,0,5285,25,108,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
21,6.0,2763,2460,286,44,12,12,77,125,34,11,16,0,2061,17,44,/en/squads/50f2a074/2019-2020/Red-Bull-Salzburg-Stats
25,8.0,5226,4841,375,103,11,54,146,155,43,16,7,0,4495,10,68,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
19,6.0,2193,1889,296,87,6,9,68,94,18,8,8,0,1641,8,32,/en/squads/099c6eb5/2019-2020/Red-Star-Stats
18,6.0,3198,2896,293,114,11,34,52,92,17,10,2,0,2704,9,48,/en/squads/e89d5a28/2019-2020/Shakhtar-Donetsk-Stats
20,6.0,3102,2809,283,70,8,36,93,117,32,11,13,1,2436,10,71,/en/squads/111cbfb1/2019-2020/Slavia-Prague-Stats
28,8.0,4312,3924,377,104,27,17,118,146,32,14,11,0,3554,11,62,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
23,8.0,3863,3406,442,166,16,34,135,137,35,6,14,2,3036,15,66,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
19,6.0,2543,2277,256,66,10,34,101,102,27,8,11,0,1882,10,52,/en/squads/98ce363d/2019-2020/Zenit-Stats
