round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,1,Tue,2019-09-17,21:00,Ajax,1.5,3–0,2.0,Lille,51441,Johan Cruyff ArenA,Srđan Jovanović,/en/matches/602b7cb7/Ajax-Lille-September-17-2019-Champions-League,,602b7cb7
Group stage,1,Tue,2019-09-17,20:00,Benfica,1.8,1–2,1.0,RB Leipzig,46460,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,/en/matches/f871df3b/Benfica-RB-Leipzig-September-17-2019-Champions-League,,f871df3b
Group stage,1,Tue,2019-09-17,20:00,Chelsea,2.8,0–1,1.0,Valencia,39469,Stamford Bridge,Cüneyt Çakιr,/en/matches/8c3140a0/Chelsea-Valencia-September-17-2019-Champions-League,,8c3140a0
Group stage,1,Tue,2019-09-17,21:00,Dortmund,3.4,0–0,0.4,Barcelona,66099,Signal Iduna Park,Ovidiu Hațegan,/en/matches/15996455/Dortmund-Barcelona-September-17-2019-Champions-League,,15996455
Group stage,1,Tue,2019-09-17,18:55,Inter,1.4,1–1,1.0,Slavia Prague,50128,Stadio Giuseppe Meazza,Ruddy Buquet,/en/matches/b56e2c3b/Internazionale-Slavia-Prague-September-17-2019-Champions-League,,b56e2c3b
Group stage,1,Tue,2019-09-17,18:55,Lyon,1.6,1–1,1.0,Zenit,47201,Groupama Stadium,Michael Oliver,/en/matches/7f6a5ede/Lyon-Zenit-September-17-2019-Champions-League,,7f6a5ede
Group stage,1,Tue,2019-09-17,21:00,Napoli,1.8,2–0,0.7,Liverpool,38878,Stadio San Paolo,Felix Brych,/en/matches/83579d2e/Napoli-Liverpool-September-17-2019-Champions-League,,83579d2e
Group stage,1,Tue,2019-09-17,21:00,RB Salzburg,4.3,6–2,0.7,Genk,29520,Red Bull Arena,Felix Zwayer,/en/matches/5b62cee4/Red-Bull-Salzburg-Genk-September-17-2019-Champions-League,,5b62cee4
Group stage,1,Wed,2019-09-18,21:00,Atlético Madrid,2.3,2–2,1.1,Juventus,66283,Estadio Wanda Metropolitano,Danny Makkelie,/en/matches/0fb39d2a/Atletico-Madrid-Juventus-September-18-2019-Champions-League,,0fb39d2a
Group stage,1,Wed,2019-09-18,21:00,Bayern Munich,4.3,3–0,0.3,Red Star,70000,Allianz Arena,Bobby Madden,/en/matches/82b3f914/Bayern-Munich-Red-Star-September-18-2019-Champions-League,,82b3f914
Group stage,1,Wed,2019-09-18,18:55,Club Brugge,1.7,0–0,0.6,Galatasaray,26616,Jan Breydelstadion,Slavko Vinčič,/en/matches/7b5b1e42/Club-Brugge-Galatasaray-September-18-2019-Champions-League,,7b5b1e42
Group stage,1,Wed,2019-09-18,21:00,Dinamo Zagreb,2.7,4–0,1.8,Atalanta,28863,Stadion Maksimir,Jesús Gil,/en/matches/940279a1/Dinamo-Zagreb-Atalanta-September-18-2019-Champions-League,,940279a1
Group stage,1,Wed,2019-09-18,21:00,Leverkusen,1.5,1–2,0.9,Loko Moscow,26592,BayArena,Paweł Raczkowski,/en/matches/d1dd1dea/Bayer-Leverkusen-Lokomotiv-Moscow-September-18-2019-Champions-League,,d1dd1dea
Group stage,1,Wed,2019-09-18,19:55,Olympiacos,1.7,2–2,1.7,Tottenham,31001,Stadio Georgios Karaiskáki,Gianluca Rocchi,/en/matches/a6045d6f/Olympiacos-Tottenham-Hotspur-September-18-2019-Champions-League,,a6045d6f
Group stage,1,Wed,2019-09-18,21:00,Paris S-G,1.7,3–0,0.6,Real Madrid,46361,Parc des Princes,Anthony Taylor,/en/matches/29e6ad42/Paris-Saint-Germain-Real-Madrid-September-18-2019-Champions-League,,29e6ad42
Group stage,1,Wed,2019-09-18,22:00,Shakhtar,0.9,0–3,2.5,Manchester City,36675,Oblasny SportKomplex Metalist,Artur Soares Dias,/en/matches/dfe33af5/Shakhtar-Donetsk-Manchester-City-September-18-2019-Champions-League,,dfe33af5
Group stage,2,Tue,2019-10-01,18:55,Atalanta,2.5,1–2,1.5,Shakhtar,26022,Stadio Giuseppe Meazza,Tobias Stieler,/en/matches/8932de20/Atalanta-Shakhtar-Donetsk-October-1-2019-Champions-League,,8932de20
Group stage,2,Tue,2019-10-01,22:00,Galatasaray,0.5,0–1,2.6,Paris S-G,46532,Türk Telekom Arena,Szymon Marciniak,/en/matches/b53a6f14/Galatasaray-Paris-Saint-Germain-October-1-2019-Champions-League,,b53a6f14
Group stage,2,Tue,2019-10-01,21:00,Juventus,1.2,3–0,0.5,Leverkusen,34525,Allianz Stadium,William Collum,/en/matches/65d33c61/Juventus-Bayer-Leverkusen-October-1-2019-Champions-League,,65d33c61
Group stage,2,Tue,2019-10-01,22:00,Loko Moscow,1.1,0–2,2.9,Atlético Madrid,27051,RZD Arena,Orel Grinfeeld,/en/matches/22e9e396/Lokomotiv-Moscow-Atletico-Madrid-October-1-2019-Champions-League,,22e9e396
Group stage,2,Tue,2019-10-01,20:00,Manchester City,3.6,2–0,0.1,Dinamo Zagreb,49046,Etihad Stadium,Serdar Gözübüyük,/en/matches/0c3534e0/Manchester-City-Dinamo-Zagreb-October-1-2019-Champions-League,,0c3534e0
Group stage,2,Tue,2019-10-01,18:55,Real Madrid,2.3,2–2,1.4,Club Brugge,65112,Estadio Santiago Bernabéu,Georgi Kabakov,/en/matches/ab9819b4/Real-Madrid-Club-Brugge-October-1-2019-Champions-League,,ab9819b4
Group stage,2,Tue,2019-10-01,21:00,Red Star,1.3,3–1,0.9,Olympiacos,43291,Stadion Rajko Mitić,Benoît Bastien,/en/matches/d43971e3/Red-Star-Olympiacos-October-1-2019-Champions-League,,d43971e3
Group stage,2,Tue,2019-10-01,20:00,Tottenham,1.9,2–7,1.3,Bayern Munich,60127,Tottenham Hotspur Stadium,Clément Turpin,/en/matches/ff840ac5/Tottenham-Hotspur-Bayern-Munich-October-1-2019-Champions-League,,ff840ac5
Group stage,2,Wed,2019-10-02,21:00,Barcelona,1.5,2–1,1.1,Inter,86141,Camp Nou,Damir Skomina,/en/matches/3186a3c6/Barcelona-Internazionale-October-2-2019-Champions-League,,3186a3c6
Group stage,2,Wed,2019-10-02,18:55,Genk,0.7,0–0,3.2,Napoli,19962,Luminus Arena,István Kovács,/en/matches/dc832bb3/Genk-Napoli-October-2-2019-Champions-League,,dc832bb3
Group stage,2,Wed,2019-10-02,21:00,Lille,0.6,1–2,1.4,Chelsea,48523,Stade Pierre-Mauroy,Aliaksei Kulbakou,/en/matches/e95c1aa2/Lille-Chelsea-October-2-2019-Champions-League,,e95c1aa2
Group stage,2,Wed,2019-10-02,20:00,Liverpool,2.5,4–3,1.6,RB Salzburg,52243,Anfield,Andreas Ekberg,/en/matches/ca11ab0f/Liverpool-Red-Bull-Salzburg-October-2-2019-Champions-League,,ca11ab0f
Group stage,2,Wed,2019-10-02,21:00,RB Leipzig,1.9,0–2,1.5,Lyon,40194,Red Bull Arena,Antonio Matéu Lahoz,/en/matches/dc85ee46/RB-Leipzig-Lyon-October-2-2019-Champions-League,,dc85ee46
Group stage,2,Wed,2019-10-02,18:55,Slavia Prague,1.4,0–2,0.8,Dortmund,19370,Sinobo Stadium,Björn Kuipers,/en/matches/dd362c79/Slavia-Prague-Dortmund-October-2-2019-Champions-League,,dd362c79
Group stage,2,Wed,2019-10-02,21:00,Valencia,2.0,0–3,1.7,Ajax,44659,Estadio de Mestalla,Daniele Orsato,/en/matches/f5105c79/Valencia-Ajax-October-2-2019-Champions-League,,f5105c79
Group stage,2,Wed,2019-10-02,22:00,Zenit,2.1,3–1,1.2,Benfica,51683,Gazprom Arena,Carlos del Cerro,/en/matches/547eaeda/Zenit-Benfica-October-2-2019-Champions-League,,547eaeda
Group stage,3,Tue,2019-10-22,18:55,Atlético Madrid,0.8,1–0,0.5,Leverkusen,56776,Estadio Wanda Metropolitano,Artur Soares Dias,/en/matches/b2172c27/Atletico-Madrid-Bayer-Leverkusen-October-22-2019-Champions-League,,b2172c27
Group stage,3,Tue,2019-10-22,21:00,Club Brugge,0.3,0–5,3.5,Paris S-G,26946,Jan Breydelstadion,Daniel Siebert,/en/matches/46267369/Club-Brugge-Paris-Saint-Germain-October-22-2019-Champions-League,,46267369
Group stage,3,Tue,2019-10-22,22:00,Galatasaray,1.2,0–1,2.4,Real Madrid,48886,Türk Telekom Arena,Daniele Orsato,/en/matches/4caaf45c/Galatasaray-Real-Madrid-October-22-2019-Champions-League,,4caaf45c
Group stage,3,Tue,2019-10-22,21:00,Juventus,2.4,2–1,0.7,Loko Moscow,38547,Allianz Stadium,Tasos Sidiropoulos,/en/matches/a3137d22/Juventus-Lokomotiv-Moscow-October-22-2019-Champions-League,,a3137d22
Group stage,3,Tue,2019-10-22,20:00,Manchester City,4.2,5–1,1.8,Atalanta,49308,Etihad Stadium,Orel Grinfeeld,/en/matches/a84fbb10/Manchester-City-Atalanta-October-22-2019-Champions-League,,a84fbb10
Group stage,3,Tue,2019-10-22,22:00,Olympiacos,0.5,2–3,2.6,Bayern Munich,31670,Stadio Georgios Karaiskáki,Danny Makkelie,/en/matches/14139171/Olympiacos-Bayern-Munich-October-22-2019-Champions-League,,14139171
Group stage,3,Tue,2019-10-22,19:55,Shakhtar,1.5,2–2,2.1,Dinamo Zagreb,21526,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,/en/matches/f24b9cb9/Shakhtar-Donetsk-Dinamo-Zagreb-October-22-2019-Champions-League,,f24b9cb9
Group stage,3,Tue,2019-10-22,20:00,Tottenham,3.7,5–0,0.6,Red Star,51743,Tottenham Hotspur Stadium,Marco Guida,/en/matches/0b56c2fe/Tottenham-Hotspur-Red-Star-October-22-2019-Champions-League,,0b56c2fe
Group stage,3,Wed,2019-10-23,18:55,Ajax,0.5,0–1,1.6,Chelsea,52482,Johan Cruyff ArenA,Ovidiu Hațegan,/en/matches/b2a13253/Ajax-Chelsea-October-23-2019-Champions-League,,b2a13253
